Accession,FullDescription,Description,Species,Biological Process,Cellular Component,Molecular Function,WikiPathways,Reactome Pathways,KEGG Pathways
P14625,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,Endoplasmin,Homo sapiens,cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes,non-structural extracellular;other membranes;cytosol;ER/Golgi;other cell component,signal transduction activity or receptor binding;nucleic acid binding activity;other molecular function,Photodynamic therapy-induced unfolded protein response; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; Prion disease pathway; PI3K-Akt signaling pathway; Sudden infant death syndrome (SIDS) susceptibility pathways,Interleukin-4 and Interleukin-13 signaling; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Trafficking and processing of endosomal TLR; Scavenging by Class A Receptors; ATF6 (ATF6-alpha) activates chaperone genes,Protein processing in endoplasmic reticulum; PI3K-Akt signaling pathway; IL-17 signaling pathway; Estrogen signaling pathway; Thyroid hormone synthesis; Salmonella infection; Pathways in cancer; Chemical carcinogenesis; Prostate cancer; Lipid and atherosclerosis; Fluid shear stress and atherosclerosis
A0A0J9YYL3,60 kDa poly(U)-binding-splicing factor (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1,60 kDa poly(U)-binding-splicing factor (Fragment),Homo sapiens,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus,nucleic acid binding activity,,,
P32119,Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5,Peroxiredoxin-2,Homo sapiens,cell cycle OR cell proliferation;other metabolic processes;stress response;developmental processes;other biological processes,cytosol;other cell component,other molecular function,Selenium micronutrient network; VEGFA-VEGFR2 signaling pathway,Detoxification of Reactive Oxygen Species; Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models; TP53 Regulates Metabolic Genes,
Q9Y6N5,"Sulfide:quinone oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=SQOR PE=1 SV=1","Sulfide:quinone oxidoreductase, mitochondrial",Homo sapiens,other metabolic processes,other membranes;mitochondrion,other molecular function,,Sulfide oxidation to sulfate,Sulfur metabolism; Metabolic pathways
Q9BZZ5,Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3,Apoptosis inhibitor 5,Homo sapiens,other biological processes,nucleus;other cell component,other molecular function,,,
P07585,Decorin OS=Homo sapiens OX=9606 GN=DCN PE=1 SV=1,Decorin,Homo sapiens,cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes,ER/Golgi;other cytoplasmic organelle;other cell component,extracellular structural activity;other molecular function,Complement system; BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation,"ECM proteoglycans; Degradation of the extracellular matrix; A tetrasaccharide linker sequence is required for GAG synthesis; Defective B4GALT7 causes EDS, progeroid type; Defective B3GAT3 causes JDSSDHD; Defective B3GALT6 causes EDSP2 and SEMDJL1; Chondroitin sulfate biosynthesis; Dermatan sulfate biosynthesis; CS/DS degradation; Defective CHST3 causes SEDCJD; Defective CHST14 causes EDS, musculocontractural type; Defective CHSY1 causes TPBS",TGF-beta signaling pathway; Proteoglycans in cancer
Q86VP6,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2,Cullin-associated NEDD8-dissociated protein 1,Homo sapiens,cell organization and biogenesis;protein metabolism;other metabolic processes;transport;other biological processes,non-structural extracellular;cytosol;ER/Golgi;nucleus;other cell component,other molecular function,Endoderm differentiation,Neutrophil degranulation; Neddylation; Iron uptake and transport,
Q13596,Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=3,Sorting nexin-1,Homo sapiens,cell organization and biogenesis;other metabolic processes;transport;other biological processes,other membranes;cytosol;ER/Golgi;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;other molecular function,,,Endocytosis
E7EWC2,Ras GTPase-activating-like protein IQGAP2 (Fragment) OS=Homo sapiens OX=9606 GN=IQGAP2 PE=1 SV=1,Ras GTPase-activating-like protein IQGAP2 (Fragment),Homo sapiens,signal transduction;other biological processes,,,Ciliary landscape,,
A0A087X253,AP complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1,AP complex subunit beta,Homo sapiens,transport,other membranes,other molecular function,Synaptic vesicle pathway; GABA receptor signaling; Fragile X syndrome; mBDNF and proBDNF regulation of GABA neurotransmission,,
A0A0C4DH38,Immunoglobulin heavy variable 5-51 OS=Homo sapiens OX=9606 GN=IGHV5-51 PE=3 SV=1,Immunoglobulin heavy variable 5-51,Homo sapiens,cell organization and biogenesis;stress response;transport;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes,signal transduction activity or receptor binding;other molecular function,,,
A0A2R8Y7U1,Tripeptidyl aminopeptidase (Fragment) OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=1,Tripeptidyl aminopeptidase (Fragment),Homo sapiens,protein metabolism,,other molecular function,,,
P36955,Pigment epithelium-derived factor OS=Homo sapiens OX=9606 GN=SERPINF1 PE=1 SV=4,Pigment epithelium-derived factor,Homo sapiens,developmental processes;other biological processes,non-structural extracellular;extracellular matrix;other cell component,enzyme regulator activity,lncRNA in canonical Wnt signaling and colorectal cancer; Wnt signaling; ncRNAs involved in Wnt signaling in hepatocellular carcinoma; Type I collagen synthesis in the context of osteogenesis imperfecta; Malignant pleural mesothelioma,,Wnt signaling pathway
P02461,Collagen alpha-1(III) chain OS=Homo sapiens OX=9606 GN=COL3A1 PE=1 SV=4,Collagen alpha-1(III) chain,Homo sapiens,cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,non-structural extracellular;extracellular matrix;ER/Golgi,signal transduction activity or receptor binding;extracellular structural activity;other molecular function,miRNA targets in ECM and membrane receptors; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; miR-509-3p alteration of YAP1/ECM axis; Inflammatory response pathway; IL-18 signaling pathway; Senescence and autophagy in cancer,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; Collagen degradation; Signaling by PDGF; Assembly of collagen fibrils and other multimeric structures; Integrin cell surface interactions; ECM proteoglycans; NCAM1 interactions; Collagen chain trimerization; Syndecan interactions; MET activates PTK2 signaling; Scavenging by Class A Receptors,Platelet activation; Relaxin signaling pathway; AGE-RAGE signaling pathway in diabetic complications; Protein digestion and absorption; Amoebiasis; Diabetic cardiomyopathy
Q8IYB3,Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=2,Serine/arginine repetitive matrix protein 1,Homo sapiens,RNA metabolism OR transcription;other metabolic processes;transport,cytosol;nucleus,nucleic acid binding activity,mRNA processing,mRNA Splicing - Major Pathway; Transport of Mature mRNA derived from an Intron-Containing Transcript; RHOBTB2 GTPase cycle; RHOBTB1 GTPase cycle; RNA Polymerase II Transcription Termination; mRNA 3'-end processing,Nucleocytoplasmic transport; mRNA surveillance pathway
Q92878,DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1,DNA repair protein RAD50,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,"miRNA regulation of DNA damage response; Homologous recombination; DDX1 as a regulatory component of the Drosha microprocessor; ATM signaling in development and disease ; Breast cancer pathway; Joubert syndrome; DNA repair pathways, full network; SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome; DNA damage response",Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks; Processing of DNA double-strand break ends; G2/M DNA damage checkpoint; Meiotic recombination; DNA Damage/Telomere Stress Induced Senescence; Nonhomologous End-Joining (NHEJ); Sensing of DNA Double Strand Breaks; Regulation of TP53 Activity through Phosphorylation; Resolution of D-loop Structures through Holliday Junction Intermediates; Presynaptic phase of homologous DNA pairing and strand exchange; Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA); Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function; Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function; HDR through Single Strand Annealing (SSA); HDR through MMEJ (alt-NHEJ),Homologous recombination; Non-homologous end-joining; Cellular senescence
P14550,Aldo-keto reductase family 1 member A1 OS=Homo sapiens OX=9606 GN=AKR1A1 PE=1 SV=3,Aldo-keto reductase family 1 member A1,Homo sapiens,other metabolic processes;other biological processes,plasma membrane;other membranes;cytosol;other cell component,other molecular function,Benzo(a)pyrene metabolism; Metapathway biotransformation Phase I and II,Glutathione conjugation; Formation of xylulose-5-phosphate,Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Glycerolipid metabolism; Pyruvate metabolism; Metabolic pathways; Biosynthesis of cofactors; Chemical carcinogenesis
P11169,"Solute carrier family 2, facilitated glucose transporter member 3 OS=Homo sapiens OX=9606 GN=SLC2A3 PE=1 SV=1","Solute carrier family 2, facilitated glucose transporter member 3",Homo sapiens,other metabolic processes;transport,plasma membrane;other membranes;other cell component,transporter activity;other molecular function,Nuclear receptors meta-pathway; NRF2 pathway; Photodynamic therapy-induced HIF-1 survival signaling; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; PI3K/AKT/mTOR - VitD3 signaling; Neuroinflammation and glutamatergic signaling; Glycolysis and gluconeogenesis,Neutrophil degranulation; Cellular hexose transport; Vitamin C (ascorbate) metabolism; MECP2 regulates neuronal receptors and channels,
P13716,Delta-aminolevulinic acid dehydratase OS=Homo sapiens OX=9606 GN=ALAD PE=1 SV=1,Delta-aminolevulinic acid dehydratase,Homo sapiens,cell organization and biogenesis;other metabolic processes;stress response;transport;other biological processes,non-structural extracellular;cytosol;other cell component,other molecular function,Heme biosynthesis,Neutrophil degranulation; Heme biosynthesis,Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of cofactors
P50570,Dynamin-2 OS=Homo sapiens OX=9606 GN=DNM2 PE=1 SV=2,Dynamin-2,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,Synaptic vesicle pathway; Fragile X syndrome; Intracellular trafficking proteins involved in CMT neuropathy,MHC class II antigen presentation; Lysosome Vesicle Biogenesis; Golgi Associated Vesicle Biogenesis; Clathrin-mediated endocytosis; Toll Like Receptor 4 (TLR4) Cascade; Recycling pathway of L1; NGF-stimulated transcription; NOSTRIN mediated eNOS trafficking; Retrograde neurotrophin signalling; Formation of annular gap junctions,Phospholipase D signaling pathway; Endocytosis; Fc gamma R-mediated phagocytosis; Synaptic vesicle cycle; Endocrine and other factor-regulated calcium reabsorption; Bacterial invasion of epithelial cells; Salmonella infection
P23368,"NAD-dependent malic enzyme, mitochondrial OS=Homo sapiens OX=9606 GN=ME2 PE=1 SV=1","NAD-dependent malic enzyme, mitochondrial",Homo sapiens,other metabolic processes;other biological processes,mitochondrion;other cell component,other molecular function,TCA cycle in senescence,Citric acid cycle (TCA cycle),Pyruvate metabolism; Carbon metabolism
H0YBE4,Glutathione peroxidase 3 (Fragment) OS=Homo sapiens OX=9606 GN=GPX3 PE=1 SV=1,Glutathione peroxidase 3 (Fragment),Homo sapiens,stress response;other biological processes,,other molecular function,Nuclear receptors meta-pathway; NRF2 pathway; One-carbon metabolism and related pathways; Metapathway biotransformation Phase I and II,,
C9JU00,Fibrinogen gamma chain (Fragment) OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=1,Fibrinogen gamma chain (Fragment),Homo sapiens,cell organization and biogenesis;stress response,non-structural extracellular,signal transduction activity or receptor binding;other molecular function,Selenium micronutrient network; Folate metabolism; Blood clotting cascade; Complement system; Fibrin complement receptor 3 signaling pathway; Network map of SARS-CoV-2 signaling pathway,,
P53621,Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2,Coatomer subunit alpha,Homo sapiens,transport;signal transduction,non-structural extracellular;other membranes;cytosol;ER/Golgi;other cell component,signal transduction activity or receptor binding;other molecular function,,COPI-dependent Golgi-to-ER retrograde traffic; COPI-mediated anterograde transport,
A0A087X0S5,Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=1,Collagen alpha-1(VI) chain,Homo sapiens,,,,miRNA targets in ECM and membrane receptors; PI3K-Akt signaling pathway,,
P26640,Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=4,Valine--tRNA ligase,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes,cytosol,other molecular function,Amino acid metabolism,Cytosolic tRNA aminoacylation,Aminoacyl-tRNA biosynthesis
Q16775,"Hydroxyacylglutathione hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HAGH PE=1 SV=2","Hydroxyacylglutathione hydrolase, mitochondrial",Homo sapiens,other metabolic processes,cytosol;mitochondrion;other cell component,other molecular function,,,Pyruvate metabolism; Metabolic pathways
